dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
16,Endrick,Real Madrid CF,UEFA Super Cup,Attacker,Brazil,14qv8npo5alwnb5dud8x82ln8,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/14qv8npo5alwnb5dud8x82ln8
8,,Real Madrid CF,UEFA Super Cup,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
,,Real Madrid CF,UEFA Super Cup,Midfielder,Spain,1riebanoqbl7brs1bm3lkgxlg,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1riebanoqbl7brs1bm3lkgxlg
31,,Real Madrid CF,UEFA Super Cup,Defender,Spain,2b1aq7e51fjbukd3muxfthd78,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2b1aq7e51fjbukd3muxfthd78
13,,Real Madrid CF,UEFA Super Cup,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
20,,Real Madrid CF,UEFA Super Cup,Defender,Spain,39c5g6782qlrtw55fsre7exnt,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39c5g6782qlrtw55fsre7exnt
15,,Real Madrid CF,UEFA Super Cup,Midfielder,Türkiye,39gif4xfy8xddarasbsad56ok,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39gif4xfy8xddarasbsad56ok
21,,Real Madrid CF,UEFA Super Cup,Midfielder,Morocco,3jln1gzc0859ymphvq83i0mp5,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3jln1gzc0859ymphvq83i0mp5
26,Fran González,Real Madrid CF,UEFA Super Cup,Goalkeeper,Spain,42mke5h9m4g7idv9q6ltuhkwk,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/42mke5h9m4g7idv9q6ltuhkwk
,Lorenzo Aguado,Real Madrid CF,UEFA Super Cup,Defender,Spain,4kob1sqi695a8rwn3r3d2a6ms,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4kob1sqi695a8rwn3r3d2a6ms
,Gonzalo García,Real Madrid CF,UEFA Super Cup,Attacker,Spain,4o9d3hpjlicgce9gtbewyzhn8,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/4o9d3hpjlicgce9gtbewyzhn8
9,,Real Madrid CF,UEFA Super Cup,Attacker,France,5e9ilgrz3tzg9kd1gk3yvrahh,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/5e9ilgrz3tzg9kd1gk3yvrahh
,Marvel,Real Madrid CF,UEFA Super Cup,Defender,Spain,5u82n0cxif2cbxlcz7y1n3x90,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/5u82n0cxif2cbxlcz7y1n3x90
1,,Real Madrid CF,UEFA Super Cup,Goalkeeper,Belgium,6crmq7vzqts58wg196q48sc7p,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6crmq7vzqts58wg196q48sc7p
22,,Real Madrid CF,UEFA Super Cup,Defender,Germany,6fzbp94hf19ysotdassrqdc5x,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6fzbp94hf19ysotdassrqdc5x
23,,Real Madrid CF,UEFA Super Cup,Defender,France,6q69l3ppqfqbryjubcrujfi6t,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6q69l3ppqfqbryjubcrujfi6t
4,,Real Madrid CF,UEFA Super Cup,Defender,Austria,6w5wyari2p4bh2zzy2x2f6hg5,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/6w5wyari2p4bh2zzy2x2f6hg5
2,,Real Madrid CF,UEFA Super Cup,Defender,Spain,7oykphzczagr975xsqt70s89h,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/7oykphzczagr975xsqt70s89h
3,Éder Militão,Real Madrid CF,UEFA Super Cup,Defender,Brazil,8wvkrrbqqthuwda8twg03yuax,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/8wvkrrbqqthuwda8twg03yuax
14,,Real Madrid CF,UEFA Super Cup,Midfielder,France,aipyotc87m5bdvmvizd5n69k9,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/aipyotc87m5bdvmvizd5n69k9
,,Real Madrid CF,UEFA Super Cup,Defender,Spain,atj6u4qul0o2ca57etbmes07o,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/atj6u4qul0o2ca57etbmes07o
7,Vinícius Júnior,Real Madrid CF,UEFA Super Cup,Attacker,Brazil,b4witgokm49tidm1a83qcvbop,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/b4witgokm49tidm1a83qcvbop
,,Real Madrid CF,UEFA Super Cup,,Italy,b5sm6w6qxpifmvjlud7t9p2j8,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,4rbs6ubspu2ym7bg6kt1gtuz8,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/b5sm6w6qxpifmvjlud7t9p2j8
