date,match_id,url_match,home,away,home_score,away_score
28/01/2026,65lxswiag0r6pt7m7s7nz6g44,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/65lxswiag0r6pt7m7s7nz6g44,Barcelona,København,4,1
21/01/2026,61upafdbc4mwkdmp1k5ajqu50,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/61upafdbc4mwkdmp1k5ajqu50,Slavia,Barcelona,2,4
09/12/2025,5q05t4o4el0d6rhmncz6pxqms,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/5q05t4o4el0d6rhmncz6pxqms,Barcelona,Frankfurt,2,1
25/11/2025,5iss7tc562nnymg0uiewtt0r8,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/5iss7tc562nnymg0uiewtt0r8,Chelsea,Barcelona,3,0
05/11/2025,5fbfmxmdror7xvtcq3a41pkpg,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/5fbfmxmdror7xvtcq3a41pkpg,Club Brugge,Barcelona,3,3
21/10/2025,547fv6pkd98zbsl3ha92ih0d0,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/547fv6pkd98zbsl3ha92ih0d0,Barcelona,Olympiakos,6,1
01/10/2025,535v16ejka2ckhekin6euxg5w,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/535v16ejka2ckhekin6euxg5w,Barcelona,Paris SG,1,2
18/09/2025,4x2w9j51dk7kc90orh6vkm2hg,https://www.scoresway.com/en_GB/soccer/uefa-champions-league-2025-2026/2mr0u0l78k2gdsm79q56tb2fo/match/view/4x2w9j51dk7kc90orh6vkm2hg,Newcastle,Barcelona,1,2
