dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,Carlos Isaac,Club Atlético de Madrid,UEFA Super Cup,Defender,Spain,19op8n866vmntrkobatq2u5ex,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/19op8n866vmntrkobatq2u5ex
3,Filipe Luís,Club Atlético de Madrid,UEFA Super Cup,Defender,Brazil,1cbahf80ugh5zp2cz92auczit,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/1cbahf80ugh5zp2cz92auczit
,Caio Henrique,Club Atlético de Madrid,UEFA Super Cup,Defender,Brazil,1o7se1aziz6fpes5hey7yijft,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/1o7se1aziz6fpes5hey7yijft
,Tachi,Club Atlético de Madrid,UEFA Super Cup,Defender,Spain,1uo6ejb6lmi12wu6ra0vozg89,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/1uo6ejb6lmi12wu6ra0vozg89
2,,Club Atlético de Madrid,UEFA Super Cup,Defender,Uruguay,2bywci4k45xh3xc82dz2kuc45,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/2bywci4k45xh3xc82dz2kuc45
,,Club Atlético de Madrid,UEFA Super Cup,Attacker,Spain,2hlrcg7bdv16hdpq9y7h769k9,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/2hlrcg7bdv16hdpq9y7h769k9
13,,Club Atlético de Madrid,UEFA Super Cup,Goalkeeper,Slovenia,2yt9oajv9dkbju8tgy1g2nmqd,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/2yt9oajv9dkbju8tgy1g2nmqd
1,,Club Atlético de Madrid,UEFA Super Cup,Goalkeeper,Spain,342kh2ue733edf9q7s0a2edat,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/342kh2ue733edf9q7s0a2edat
,,Club Atlético de Madrid,UEFA Super Cup,,Argentina,3897s5cs5iyk8g0g10fzywiqd,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/3897s5cs5iyk8g0g10fzywiqd
8,,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Spain,40h47dhimsmeiury61w1ourx1,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/40h47dhimsmeiury61w1ourx1
,,Club Atlético de Madrid,UEFA Super Cup,Defender,Colombia,4lcx74w8cx1hdf360dj7u19m1,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/4lcx74w8cx1hdf360dj7u19m1
24,,Club Atlético de Madrid,UEFA Super Cup,Defender,Uruguay,548jzfl9higq44w9bgqvcjh05,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/548jzfl9higq44w9bgqvcjh05
4,,Club Atlético de Madrid,UEFA Super Cup,Defender,Colombia,5nz0s9c3qorn5z6wzy1dr1fpx,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/5nz0s9c3qorn5z6wzy1dr1fpx
,,Club Atlético de Madrid,UEFA Super Cup,Attacker,Spain,5oig0f6rihhn5hz2k8yfe9vmy,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/5oig0f6rihhn5hz2k8yfe9vmy
10,,Club Atlético de Madrid,UEFA Super Cup,Attacker,Argentina,6fdvv4zs5pl6qj7pp6tsp5iad,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/6fdvv4zs5pl6qj7pp6tsp5iad
19,Diego Costa,Club Atlético de Madrid,UEFA Super Cup,Attacker,Spain,6s577yqayjceifu1e05f280yd,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/6s577yqayjceifu1e05f280yd
7,,Club Atlético de Madrid,UEFA Super Cup,Attacker,France,716n1970vi9rvw5b4w9qmjfth,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/716n1970vi9rvw5b4w9qmjfth
18,Gelson Martins,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Portugal,72m5u1rlgh6e229zpfvp7f5jp,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/72m5u1rlgh6e229zpfvp7f5jp
23,Vitolo,Club Atlético de Madrid,UEFA Super Cup,Midfielder,Spain,8y0snikcs8uyn3f89yec086vp,4ku8o6uf87yd8iecdalipo6wd,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/4ku8o6uf87yd8iecdalipo6wd/player/view/8y0snikcs8uyn3f89yec086vp
