dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
20,,Real Madrid CF,UEFA Super Cup,Attacker,Spain,127eg3g8ig8j7obxtyc2tl8t1,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/127eg3g8ig8j7obxtyc2tl8t1
13,Kiko Casilla,Real Madrid CF,UEFA Super Cup,Goalkeeper,Spain,1f2t5vsayiiluw330yiw4ft1x,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1f2t5vsayiiluw330yiw4ft1x
27,,Real Madrid CF,UEFA Super Cup,Midfielder,Uruguay,1i9wi65k2foqwudeqiyih87hl,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1i9wi65k2foqwudeqiyih87hl
,,Real Madrid CF,UEFA Super Cup,Midfielder,Argentina,1pk39r37kf812yhlba33oe12h,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/1pk39r37kf812yhlba33oe12h
,,Real Madrid CF,UEFA Super Cup,,Spain,2jwj49i5a31c4dsa08hji63f9,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/2jwj49i5a31c4dsa08hji63f9
26,,Real Madrid CF,UEFA Super Cup,Goalkeeper,Ukraine,38bp85766w04a0nuulq5fiig9,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/38bp85766w04a0nuulq5fiig9
,,Real Madrid CF,UEFA Super Cup,Defender,Spain,39c5g6782qlrtw55fsre7exnt,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/39c5g6782qlrtw55fsre7exnt
5,,Real Madrid CF,UEFA Super Cup,Defender,France,3dph74ixutmbpscaon0b25sl,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3dph74ixutmbpscaon0b25sl
,,Real Madrid CF,UEFA Super Cup,Midfielder,Spain,3f673373jylbr4ir0bklci40l,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3f673373jylbr4ir0bklci40l
,,Real Madrid CF,UEFA Super Cup,Attacker,Spain,3o3lfyvl4c2wov8xhe6d6fc2d,3kq9cckrnlogidldtdie2fkbl,a0f4gtru0oyxmpvty4thc5qkc,adooa143g0rm2fdlcsrliz9t6,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/view/3kq9cckrnlogidldtdie2fkbl/player/view/3o3lfyvl4c2wov8xhe6d6fc2d
