equipo,link,logo,cod_equipo,cod_liga,liga
Real Madrid CF,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2014-2015/exi2z0r2a4cxezwhb1pow4ln2/teams/real-madrid-cf/3kq9cckrnlogidldtdie2fkbl,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3kq9cckrnlogidldtdie2fkbl,3kq9cckrnlogidldtdie2fkbl,exi2z0r2a4cxezwhb1pow4ln2,uefa-super-cup-2014-2015
Sevilla FC,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2014-2015/exi2z0r2a4cxezwhb1pow4ln2/teams/sevilla-fc/10eyb18v5puw4ez03ocaug09m,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=10eyb18v5puw4ez03ocaug09m,10eyb18v5puw4ez03ocaug09m,exi2z0r2a4cxezwhb1pow4ln2,uefa-super-cup-2014-2015
