dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
23,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,5t2ngljfiapcn98qlnbifg53p,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5t2ngljfiapcn98qlnbifg53p
,,Villarreal CF,UEFA Super Cup,Attacker,Spain,5v4xejh2rnvkrqnvpz4eu2lt5,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5v4xejh2rnvkrqnvpz4eu2lt5
1,,Villarreal CF,UEFA Super Cup,Goalkeeper,Spain,5vyiq10fusxvrx4tajz9lmg9h,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5vyiq10fusxvrx4tajz9lmg9h
32,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,5zoz3mjooujpv0wdcphyrztd6,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/5zoz3mjooujpv0wdcphyrztd6
,,Villarreal CF,UEFA Super Cup,,Spain,6xqs1v0v355ych1s7m0htd0id,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/6xqs1v0v355ych1s7m0htd0id
22,,Villarreal CF,UEFA Super Cup,Defender,Algeria,7c2qwyzh82a45s25zmdahrd91,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/7c2qwyzh82a45s25zmdahrd91
9,Paco Alcácer,Villarreal CF,UEFA Super Cup,Attacker,Spain,7e6ksu8ct04lr2v91h1k7wtlh,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/7e6ksu8ct04lr2v91h1k7wtlh
12,,Villarreal CF,UEFA Super Cup,Defender,Ecuador,87g6qlasqe627i5g7ir30j2sp,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/87g6qlasqe627i5g7ir30j2sp
14,,Villarreal CF,UEFA Super Cup,Midfielder,Spain,9m2qujt0h0zrd0n1akjqjo0r9,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/9m2qujt0h0zrd0n1akjqjo0r9
18,,Villarreal CF,UEFA Super Cup,Defender,Spain,a3w1uczgmswm3cwk4vmvoglhx,74mcjsm72vr3l9pw2i4qfjchj,a0f4gtru0oyxmpvty4thc5qkc,cdgsb1vg0o8inwdz37l70bk0k,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/view/74mcjsm72vr3l9pw2i4qfjchj/player/view/a3w1uczgmswm3cwk4vmvoglhx
