equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats
Club Atlético de Madrid,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/club-atlético-de-madrid/4ku8o6uf87yd8iecdalipo6wd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4ku8o6uf87yd8iecdalipo6wd,4ku8o6uf87yd8iecdalipo6wd,adooa143g0rm2fdlcsrliz9t6,uefa-super-cup-2018-2019,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4ku8o6uf87yd8iecdalipo6wd&tmcl=adooa143g0rm2fdlcsrliz9t6&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37eb6437c44277d4a8a2f832ebac2568c386b33dc,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=adooa143g0rm2fdlcsrliz9t6&ctst=4ku8o6uf87yd8iecdalipo6wd&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37ccca9aba7c5e77b10b15bf72028645e711d82b2,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=adooa143g0rm2fdlcsrliz9t6&ctst=4ku8o6uf87yd8iecdalipo6wd&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W315643462b933cc3f05ed125d1690d806967c29f3
Real Madrid CF,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2018-2019/adooa143g0rm2fdlcsrliz9t6/teams/real-madrid-cf/3kq9cckrnlogidldtdie2fkbl,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3kq9cckrnlogidldtdie2fkbl,3kq9cckrnlogidldtdie2fkbl,adooa143g0rm2fdlcsrliz9t6,uefa-super-cup-2018-2019,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=3kq9cckrnlogidldtdie2fkbl&tmcl=adooa143g0rm2fdlcsrliz9t6&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a3f5a2f4761bd100944511b3984fb2d42eccc04f,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=adooa143g0rm2fdlcsrliz9t6&ctst=3kq9cckrnlogidldtdie2fkbl&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35f9493bb2f8d59a75b4ab6f7a7fbb204342750ca,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=adooa143g0rm2fdlcsrliz9t6&ctst=3kq9cckrnlogidldtdie2fkbl&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32a5d8bac29903d4b0064e3da37de2a53d66dbfd8
