equipo,link,logo,cod_equipo,cod_liga,liga
Atalanta Bergamasca Calcio,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/atalanta-bergamasca-calcio/e75syeuawg3ql8nwpi3vr2btz,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=e75syeuawg3ql8nwpi3vr2btz,e75syeuawg3ql8nwpi3vr2btz,4rbs6ubspu2ym7bg6kt1gtuz8,uefa-super-cup-2024-2025
Real Madrid CF,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2024-2025/4rbs6ubspu2ym7bg6kt1gtuz8/teams/real-madrid-cf/3kq9cckrnlogidldtdie2fkbl,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3kq9cckrnlogidldtdie2fkbl,3kq9cckrnlogidldtdie2fkbl,4rbs6ubspu2ym7bg6kt1gtuz8,uefa-super-cup-2024-2025
