dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
31,Javi Díaz,Sevilla FC,UEFA Super Cup,Goalkeeper,Spain,2emkdexg3dqwcozylbubfyj8p,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/2emkdexg3dqwcozylbubfyj8p
,,Sevilla FC,UEFA Super Cup,,Spain,2jwj49i5a31c4dsa08hji63f9,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/2jwj49i5a31c4dsa08hji63f9
16,,Sevilla FC,UEFA Super Cup,Defender,Spain,2mg2n8e1d83gbeykfwzz0fumt,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/2mg2n8e1d83gbeykfwzz0fumt
18,,Sevilla FC,UEFA Super Cup,Defender,Spain,3zyib6lm9w7bi6lbek5m0dbrp,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/3zyib6lm9w7bi6lbek5m0dbrp
,,Sevilla FC,UEFA Super Cup,,Spain,42eok4frwi2jn8o58ensinget,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/42eok4frwi2jn8o58ensinget
15,,Sevilla FC,UEFA Super Cup,Attacker,Morocco,4bbqmasyopxoymo4umcxd4e09,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/4bbqmasyopxoymo4umcxd4e09
9,,Sevilla FC,UEFA Super Cup,Attacker,Netherlands,4drquvq035kmr2smvzph82bx1,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/4drquvq035kmr2smvzph82bx1
,,Sevilla FC,UEFA Super Cup,Defender,Spain,4ied8e8ad4v09x50wefzn0ijt,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/4ied8e8ad4v09x50wefzn0ijt
7,Suso,Sevilla FC,UEFA Super Cup,Midfielder,Spain,5c4ku1hmhy6l9dq8a5jp1qf9x,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/5c4ku1hmhy6l9dq8a5jp1qf9x
22,,Sevilla FC,UEFA Super Cup,Midfielder,Argentina,5pe8vrm8k9dwiy5uw2jca4jbp,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/5pe8vrm8k9dwiy5uw2jca4jbp
25,Fernando,Sevilla FC,UEFA Super Cup,Midfielder,Brazil,65osnocfqxv6mmpb69hm446ad,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,1likk1so1f5kkfarfustln88a,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2020-2021/1likk1so1f5kkfarfustln88a/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/65osnocfqxv6mmpb69hm446ad
