equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo
Manchester City FC,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/manchester-city-fc/a3nyxabgsqlnqfkeg41m6tnpp,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a3nyxabgsqlnqfkeg41m6tnpp,a3nyxabgsqlnqfkeg41m6tnpp,4ef6pxrywhpffwguublgrsro4,uefa-super-cup-2023-2024,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=a3nyxabgsqlnqfkeg41m6tnpp&tmcl=4ef6pxrywhpffwguublgrsro4&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W387390f6febb3a6c500aad84500ff5cee3fbbfd07,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4ef6pxrywhpffwguublgrsro4&ctst=a3nyxabgsqlnqfkeg41m6tnpp&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d9712a36326073fe3f875b2c4238587a7cc6f00b
Sevilla FC,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/sevilla-fc/10eyb18v5puw4ez03ocaug09m,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=10eyb18v5puw4ez03ocaug09m,10eyb18v5puw4ez03ocaug09m,4ef6pxrywhpffwguublgrsro4,uefa-super-cup-2023-2024,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=10eyb18v5puw4ez03ocaug09m&tmcl=4ef6pxrywhpffwguublgrsro4&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d4dc184a8b717c58f4729cbe24d773384db1516d,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4ef6pxrywhpffwguublgrsro4&ctst=10eyb18v5puw4ez03ocaug09m&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36f4d9e7efa54c78ee5a8abca3b1d6f5f56057215
