equipo,link,logo,cod_equipo,cod_liga,liga
Chelsea FC,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/chelsea-fc/9q0arba2kbnywth8bkxlhgmdr,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9q0arba2kbnywth8bkxlhgmdr,9q0arba2kbnywth8bkxlhgmdr,cdgsb1vg0o8inwdz37l70bk0k,uefa-super-cup-2021-2022
Villarreal CF,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2021-2022/cdgsb1vg0o8inwdz37l70bk0k/teams/villarreal-cf/74mcjsm72vr3l9pw2i4qfjchj,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=74mcjsm72vr3l9pw2i4qfjchj,74mcjsm72vr3l9pw2i4qfjchj,cdgsb1vg0o8inwdz37l70bk0k,uefa-super-cup-2021-2022
